ID;TITULAR;RUC;TITULO_PROYECTO;UNIDAD_PROYECTO;TIPO;ACTIVIDAD;FECHA_INICIO;ESTADO;DESCRIPCION;LONGITUD;LATITUD;RESOLUCION;LABEL;
25;EMPRESA DE GENERACION ELECTRICA SAN GABAN S.A.;20262221335;PLAN DE PARTICIPACI‡N CIUDADANA PARA LA CONTINUACI‡N DEL PROYECTO DE MODIFICACI‡N DEL ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO CENTRAL HIDROELêCTRICA SAN GABµN II RELACIONADO CON LA %u201CINSTALACI‡N DE UNA PRESA EN LA CUENCA DEL R÷O NINAHUISA PARA EL AFIANZA;CENTRAL HIDROELêCTRICA,  CON ESTRUCTURA DE REGULACI‡N (PRESA, BARRAJES M‡VIL O FIJO, U OTROS QUE GENEREN EMBALSE), UBICACI‡N A;MPPC;Electricidad;7/12/2022;Aprobado;SIN DESCRIPCION;-70.59989519;-14.07722734;;null;
26;COMPA•IA DE MINAS BUENAVENTURA S.A.A.;20100079501;SEGUNDO INFORME TêCNICO SUSTENTATORIO DEL PROYECTO SAN GABRIEL;SAN GABRIEL;ITS;Miner°a;28/08/2020;Aprobado;SIN DESCRIPCION;-70.39899865;-13.15209764;RD N¯ 0129-2020-SENACE-PE/DEAR;null;
27;EMPRESA ADMINISTRADORA CERRO S.A.C.;20538848060;PRIMERA MODIFICACI‡N DEL ESTUDIO DE IMPACTO AMBIENTAL DE LA UNIDAD MINERA CERRO DE PASCO;CERRO DE PASCO;PPC;Miner°a;13/10/2022;Aprobado;SIN DESCRIPCION;-76.25962831;-10.67851773; RD N¯ 00042-2023-SENACE-PE/DEAR;null;
28;SAPET DEVELOPMENT PERÈ INC., SUCURSAL DEL PERÈ;20168702346;AMPLIACI‡N Y MODIFICACI‡N DE FACILIDADES DE PRODUCCI‡N EN EL LOTE VII / VI;LOTE VII/VI;ITS;Hidrocarburos;18/05/2017;Aprobado;SIN DESCRIPCION;-81.25261248;-4.48973025;RD N¯ 194-2017-SENACE/DCA;null;
29;CONCESIONARIA IIRSA NORTE S.A.;20511004251;ITS PARA LA CONSTRUCCI‡N DE DEP‡SITOS DE MATERIAL EXCEDENTE KM 180+568 LI, 178+816 LD, 57+067 LI,  9+990 LD Y 3+386 LD DEL CORREDOR VIAL AMAZONAS NORTE (IIRSA NORTE), TRAMO 04: OLMOS %u2013 CORRAL  QUEMADO;CORREDOR VIAL AMAZONAS NORTE (IIRSA NORTE), TRAMO 04: OLMOS %u2013 CORRAL  QUEMADO;ITS;Transportes;5/03/2021;Aprobado;SIN DESCRIPCION;-79.68670881;-5.97249074;RD N¯ 00105-2021-SENACE-PE/DEIN;null;
1;CONCESION CANCHAQUE S.A.C;20515121201;ITS PARA LA MODIFICACION DE COMPONENTES AUXILIARES DEL CORREDOR VIAL NACIONAL RUTA PE-02: EMPALME 1B BUENOS AIRES %u2013 CANCHAQUE - HUANCABAMBA;MODIFICACION DE COMPONENTES AUXILIARES DEL CORREDOR VIAL NACIONAL RUTA PE-02: EMPALME 1B BUENOS AIRES %u2013 CANCHAQUE - HUANCABAMBA;ITS;Transportes;5/09/2019;Aprobado;SIN DESCRIPCION;-79.98636081;-5.24037274;RD N¯ 00093-2020-SENACE-PE/DEIN;null;
4;VOLCAN COMPANIA MINERA S.A.A.;20383045267;QUINTO INFORME TêCNICO SUSTENTATORIO DE LA UNIDAD MINERA CARAHUACRA;CARAHUACRA;ITS;Miner°a;15/08/2020;Aprobado;SIN DESCRIPCION;-76.08420546;-11.66942591;RD N¯ 00113-2020-SENACE-PE/DEAR;null;
6;LIMA AIRPORT PARTNERS S.R.L.;20501577252;CUARTO INFORME TêCNICO SUSTENTATORIO DE LA MODIFICACI‡N DEL ESTUDIO DE IMPACTO AMBIENTAL   AEROPUERTO INTERNACIONAL JORGE CHµVEZ (AIJC);INFRAESTRUCTURA AEROPORTUARIA;ITS;Transportes;29/10/2021;Aprobado;SIN DESCRIPCION;-77.11818435;-12.02225993;RD N¯ 00027-2022-SENACE-PE/DEIN;null;
7;TRANSPORTADORA DE GAS DEL PERÈ S.A.;20499432021;INSTALACI‡N Y OPERACI‡N DE UN SISTEMA DE FILTRADO EN EL DUCTO DE LGN-ESTACI‡N REDUCTORA DE PRESI‡N N¯ 2 (PRS2);TGP;ITS;Hidrocarburos;23/02/2016;Aprobado;SIN DESCRIPCION;-75.5447;-13.6417;RD N¯ 006-2016-SENACE/DCA;null;
8;CONCESIONARIA IIRSA NORTE S.A.;20511004251;INFORME TêCNICO SUSTENTATORIO PARA EL DEP‡SITO DE MATERIAL EXCEDENTE KM 399+000 LI DEL PROYECTO CORREDOR VIAL AMAZONAS NORTE, TRAMO 3: CORRAL QUEMADO %u2013 RIOJA;TRAMO III;ITS;Transportes;17/09/2020;Aprobado;SIN DESCRIPCION;-77.64507251;-5.68610308;RD N¯ 00141-2020-SENACE-PE/DEIN;null;
