ID,TITULAR,RUC,TITULO_PROYECTO,UNIDAD_PROYECTO,TIPO,ACTIVIDAD,FECHA_INICIO,ESTADO,DESCRIPCION,LONGITUD,LATITUD,RESOLUCION,LABEL
25,EMPRESA DE GENERACION ELECTRICA SAN GABAN S.A.,20262221335,FALSO,FALSO,MPPC,Electricidad,07/12/2022,Aprobado,SIN DESCRIPCION,-70.59989519,-14.07722734,,null
26,FALSO,20100079501,FALSO,SAN GABRIEL,ITS,FALSO,28/08/2020,Aprobado,SIN DESCRIPCION,-70.39899865,-13.15209764,FALSO,null
27,EMPRESA ADMINISTRADORA CERRO S.A.C.,20538848060,FALSO,CERRO DE PASCO,PPC,FALSO,13/10/2022,Aprobado,SIN DESCRIPCION,-76.25962831,-10.67851773,FALSO,null
28,FALSO,20168702346,FALSO,LOTE VII/VI,ITS,Hidrocarburos,18/05/2017,Aprobado,SIN DESCRIPCION,-81.25261248,-4.48973025,FALSO,null
29,CONCESIONARIA IIRSA NORTE S.A.,20511004251,FALSO,CORREDOR VIAL AMAZONAS NORTE (IIRSA NORTE), TRAMO 04: OLMOS %u2013 CORRAL  QUEMADO,ITS,Transportes,05/03/2021,Aprobado,SIN DESCRIPCION,-79.68670881,-5.97249074,FALSO,null
1,CONCESION CANCHAQUE S.A.C,20515121201,ITS PARA LA MODIFICACION DE COMPONENTES AUXILIARES DEL CORREDOR VIAL NACIONAL RUTA PE-02: EMPALME 1B BUENOS AIRES %u2013 CANCHAQUE - HUANCABAMBA,MODIFICACION DE COMPONENTES AUXILIARES DEL CORREDOR VIAL NACIONAL RUTA PE-02: EMPALME 1B BUENOS AIRES %u2013 CANCHAQUE - HUANCABAMBA,ITS,Transportes,05/09/2019,Aprobado,SIN DESCRIPCION,-79.98636081,-5.24037274,FALSO,null
4,VOLCAN COMPANIA MINERA S.A.A.,20383045267,FALSO,CARAHUACRA,ITS,FALSO,15/08/2020,Aprobado,SIN DESCRIPCION,-76.08420546,-11.66942591,FALSO,null
6,LIMA AIRPORT PARTNERS S.R.L.,20501577252,FALSO,INFRAESTRUCTURA AEROPORTUARIA,ITS,Transportes,29/10/2021,Aprobado,SIN DESCRIPCION,-77.11818435,-12.02225993,FALSO,null
7,FALSO,20499432021,FALSO,TGP,ITS,Hidrocarburos,23/02/2016,Aprobado,SIN DESCRIPCION,-75.5447,-13.6417,FALSO,null
8,CONCESIONARIA IIRSA NORTE S.A.,20511004251,FALSO,TRAMO III,ITS,Transportes,17/09/2020,Aprobado,SIN DESCRIPCION,-77.64507251,-5.68610308,FALSO,null
11,MUNICIPALIDAD PROVINCIAL DE AREQUIPA,20154489895,MEJORAMIENTO DEL SERVICIO DE INTERCONEXION VIAL ENTRE LAS AVENIDAS JESUS, LOS INCAS, KENEDY Y LAS CALLES LONDRES, 30 DE AGOSTO, MARIA NIEVES BUSTAMANTE, DE LOS DISTRITOS DE AREQUIPA, PAUCARPATA Y JOSE LUIS BUSTAMANTE,MEJORAMIENTO DEL SERVICIO DE INTERCONEXION VIAL,FALSO,Transportes,06/04/2021,Aprobado,SIN DESCRIPCION,-71.51251308,-16.4125286,FALSO,null
12,CINTRA SERVICIOS DE INFRAESTRUCTURAS SUCURSAL DEL PERU,20601615518,ANILLO VIAL PERIFERICO DE LA CUIDAD DE LIMA Y EL CALLAO TRAMO I: DESDE EL OVALO 200 MILLAS-AV ELMER FAUCETT -AV. CANTA CALLAO HASTA SU CRUCE CON LA AV. NARANJAL HASTA LA PANAMERICANA NORTE,ANILLO VIAL PERIFERICO DE LA CUIDAD DE LIMA Y EL CALLAO TRAMO I: DESDE EL OVALO 200 MILLAS-AV ELMER FAUCETT -AV. CANTA CALLAO HASTA SU CRUCE CON LA AV. NARANJAL HASTA LA PANAMERICANA NORTE,FALSO,Transportes,18/07/2019,Aprobado,SIN DESCRIPCION,-77.06230109,-11.97675137,FALSO,null
13,FALSO,20192779333,FALSO,PALLANCATA,ITS,FALSO,14/12/2016,Aprobado,SIN DESCRIPCION,-73.147,-14.682,FALSO,null
14,FALSO,20304177552,ITS PARA LA INSTALACION CAMPAMENTO SATELITE MALVINAS,LOTE 88,ITS,Hidrocarburos,07/04/2017,Aprobado,SIN DESCRIPCION,-72.93665084,-11.82351803,FALSO,null
15,FALSO,20458538701,AMPLIACION DE CAPACIDAD INSTALADA DE 3000 A 3600 TMD DE LA PLANTA DE BENEFICIO HUANCAPETI 2009 POR MEJORAS TECNOLOGICAS,U.M. HUANCAPETI,ITS,FALSO,27/06/2017,Aprobado,SIN DESCRIPCION,-77.52864023,-9.75216662,FALSO,null
16,FALSO,20204474606,CONSTRUCCION DE  CAMINO VECINAL SECSENCCAYA-JATUN PIHUANCA DEL -, DISTRITO DE SAN JUAN DE CHACNA - AYMARAES - APURIMAC,FALSO,FALSO,Transportes,25/10/2021,Aprobado,SIN DESCRIPCION,-73.18385894,-13.90422517,FALSO,null
17,NYRSTAR ANCASH S.A.,20383161330,FALSO,UEA CONTONGA,ITS,FALSO,19/07/2016,Aprobado,SIN DESCRIPCION,-77.078,-9.5,FALSO,null
18,FALSO,20546191541,FALSO,PAN AMERICAN SILVER,ITS,FALSO,24/11/2016,Aprobado,SIN DESCRIPCION,-76.41,-11.0101,FALSO,null
31,MINSUR S.A.,20100136741,FALSO,PUCAMARCA,MPPC,FALSO,16/09/2022,Aprobado,SIN DESCRIPCION,-69.80849073,-17.81725943,FALSO,null
32,EMPRESA NACIONAL DE PUERTOS S.A.,20100003200,MEJORAMIENTO DEL SERVICIO DE EMBARQUE Y DESEMBARQUE DE PASAJEROS EN EL TERMINAL PORTUARIO DE IQUITOS,SIN UNIDAD,FALSO,Transportes,23/09/2016,Aprobado,SIN DESCRIPCION,-73.23992055,-73.23992055,FALSO,null
35,GOBIERNO REGIONAL DE AMAZONAS,20479569900,MEJORAMIENTO DE LA CARRETERA CHACHAPOYAS - AEROPUERTO,SIN UNIDAD,FALSO,Transportes,07/09/2016,Aprobado,SIN DESCRIPCION,-77.86660147,-77.86660147,FALSO,null
47,NEXA RESOURCES EL PORVENIR S.A.C.,20492744833,FALSO,U.M. EL PORVENIR,ITS,FALSO,10/12/2019,Aprobado,SIN DESCRIPCION,-76.20517965,-10.61611424,FALSO,null
48,ARUNTANI S.A.C.,20466327612,CUARTO ITS DE LA UNIDAD MINERA ARASI: CANTERA JESSICA NORTE,U.M. ARASI,ITS,FALSO,11/12/2018,Aprobado,SIN DESCRIPCION,-70.82776413,-15.25001665,FALSO,null
50,JINZHAO MINING  PERU S.A.,20520694839,FALSO,PAMPA DEL PONGO,ITS,FALSO,25/11/2019,Aprobado,SIN DESCRIPCION,-74.86134516,-15.39116406,FALSO,null
51,FALSO,20100163552,QUINTO ITS DE CAMBIOS EN INSTALACIONES AUXILIARES DE LA U.M. RAURA,U.M. RAURA,ITS,FALSO,08/09/2017,Aprobado,SIN DESCRIPCION,-76.74649699,-10.45792535,FALSO,null
52,FALSO,20100079501,TERCER ITS EIAD PROYECTO TAMBOMAYO,U.M. TAMBOMAYO,ITS,FALSO,24/09/2018,Aprobado,SIN DESCRIPCION,-71.9406,-15.467,FALSO,null
54,ANABI S.A.C.,20517187551,PROYECTO UTUNSA,U.M. UTUNSA,ITS,FALSO,30/12/2016,Aprobado,SIN DESCRIPCION,-72.2888,-14.4182,FALSO,null
55,FALSO,20546191541,FALSO,U.M. HUARON,ITS,FALSO,05/06/2017,Aprobado,SIN DESCRIPCION,-76.40997186,-11.01011601,FALSO,null
56,FALSO,20203058781,FALSO,LOTE Z-2B,ITS,Hidrocarburos,27/09/2018,Aprobado,SIN DESCRIPCION,-81.14777291,-4.88961203,FALSO,null
57,MUNICIPALIDAD DISTRITAL DE UCHURACCAY,20574782920,FALSO,CAMINO VECINAL ENTRE LAS COMUNIDADES DE UCHURACCAY-RODEOPAMPA-CHUQUI, DISTRITO DE UCHURACCAY, PROVINCIA DE HUANTA - AYACUCHO,FALSO,Transportes,19/07/2019,Aprobado,SIN DESCRIPCION,-74.08717817,-12.81698106,FALSO,null
58,FALSO,20600020022,FALSO,UNIDAD MINERA HUACHOCOLPA UNO,ITS,FALSO,08/10/2021,Aprobado,SIN DESCRIPCION,-74.98293812,-13.07143812,FALSO,null
59,FALSO,20516488973,FALSO,SIN UNIDAD,PPC,FALSO,15/02/2016,Aprobado,SIN DESCRIPCION,-76.52276047,-76.52276047,FALSO,null
73,FALSO,20511125040,FALSO,SIN UNIDAD,ITS,Transportes,15/11/2017,Aprobado,SIN DESCRIPCION,-70.62932226,-13.18630185,FALSO,null
77,FALSO,20486021692,FALSO,SIN UNIDAD,FALSO,Transportes,14/11/2017,Aprobado,SIN DESCRIPCION,-75.2254199,-10.95058264,FALSO,null
78,FALSO,20514608041,FALSO,U.M. ANIMON,MEIA-d,FALSO,03/09/2018,Aprobado,SIN DESCRIPCION,-76.4285,-11.0292,FALSO,null
63,MUNICIPALIDAD DISTRITAL ASQUIPATA,20211431971,FALSO,FALSO,FALSO,Transportes,16/06/2021,Aprobado,SIN DESCRIPCION,-73.91700515,-14.11444437,FALSO,null
64,CONCESIONARIA IIRSA NORTE S.A.,20511004251,FALSO,CORREDOR VIAL AMAZONAS NORTE,ITS,Transportes,11/10/2018,Aprobado,SIN DESCRIPCION,-79.1692481,-6.00264948,FALSO,null
65,FALSO,20100153832,LOTE IV,LOTE IV,ITS,Hidrocarburos,07/11/2017,Aprobado,SIN DESCRIPCION,-81.16284874,-4.48062664,FALSO,null
66,MINERA YANACOCHA S.R.L.,20137291313,FALSO,U.M. YANACOCHA,ITS,FALSO,30/11/2017,Aprobado,SIN DESCRIPCION,-78.5411,-6.9898,FALSO,null
67,MINERA YANACOCHA S.R.L.,20137291313,FALSO,U.M. YANACOCHA,ITS,FALSO,30/11/2017,Aprobado,SIN DESCRIPCION,-78.4859,-6.9761,FALSO,null
68,LUZ DEL SUR S.A.A.,20331898008,FALSO,S.E. MANCHAY,FALSO,Electricidad,20/03/2017,Aprobado,SIN DESCRIPCION,-76.86823366,-12.10054452,FALSO,null
70,SAMAY I S.A.,20537698889,FALSO,C.T. PUERTO BRAVO,ITS,Electricidad,20/10/2017,Aprobado,SIN DESCRIPCION,-71.9778932,-17.03838228,FALSO,null
36,FALSO,20516488973,FALSO,U.M. SANTANDER,ITS,FALSO,05/06/2019,Aprobado,SIN DESCRIPCION,-76.52324721,-11.18673563,FALSO,null
37,CONCESIONARIA IIRSA NORTE S.A.,20511004251,FALSO,TRAMO I,ITS,Transportes,11/05/2022,Aprobado,SIN DESCRIPCION,-76.29395767,-6.33748034,FALSO,null
38,FALSO,20168702346,FALSO,LOTE VII/VI,ITS,Hidrocarburos,02/04/2018,Aprobado,SIN DESCRIPCION,-81.2176,-4.5318,FALSO,null
39,FALSO,20513842377,FALSO,LOTE 95,ITS,Hidrocarburos,11/12/2019,Aprobado,SIN DESCRIPCION,-74.32812263,-5.24383096,FALSO,null
40,FALSO,20269985900,FALSO,L.T. FILADELFIA-PUENTE PIEDRA,FALSO,Electricidad,10/05/2016,Aprobado,SIN DESCRIPCION,-77.1015,-11.9856,FALSO,null
44,FALSO,20376303811,FALSO,U.M. COBRIZA,ITS,FALSO,09/09/2019,Aprobado,SIN DESCRIPCION,-74.38994526,-12.57526094,FALSO,null
45,INSTITUTO METROPOLITANO PROTRANSPORTE DE LIMA - PROTRANSPORTE,20510407670,FALSO,SIN UNIDAD,FALSO,Transportes,30/01/2018,Aprobado,SIN DESCRIPCION,-77.01947316,-12.16689808,FALSO,null
91,MUNICIPALIDAD DISTRITAL DE HUATA,20146926143,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR DE LA CARRETERA TRAMO HUATA - CHINCHERPAMPA, DISTRITO DE HUATA - PUNO - PUNO,SIN UNIDAD,FALSO,Transportes,07/12/2016,Aprobado,SIN DESCRIPCION,-69.99723954,-69.99723954,FALSO,null
92,FALSO,20538837611,FALSO,SIN UNIDAD,PPC,FALSO,12/04/2019,Aprobado,SIN DESCRIPCION,-71.93134607,-71.93134607,FALSO,null
93,FALSO,20601825601,FALSO,SIN UNIDAD,PPC,Electricidad,26/06/2019,Aprobado,SIN DESCRIPCION,-76.39352835,-76.39352835,FALSO,null
94,APUMAYO S.A.C.,20547735014,FALSO,SIN UNIDAD,PPC,FALSO,20/01/2016,Aprobado,SIN DESCRIPCION,-73.92903536,-73.92903536,FALSO,null
96,EDEGEL S.A.A.,20330791412,FALSO,FALSO,ITS,Electricidad,17/10/2017,Aprobado,SIN DESCRIPCION,-77.11759633,-11.93624031,FALSO,null
97,FALSO,20499432021,FALSO,MICROTURBINA,ITS,Hidrocarburos,08/10/2021,Aprobado,SIN DESCRIPCION,-73.13783409,-12.54571285,FALSO,null
98,MUNICIPALIDAD DISTRITAL DE BALSAS,20165779879,FALSO,SIN UNIDAD,FALSO,Transportes,27/11/2017,Aprobado,SIN DESCRIPCION,-77.91509628,-6.82194158,FALSO,null
99,FALSO,20259829594,FALSO,LA PAMPILLA,ITS,Hidrocarburos,19/01/2018,Aprobado,SIN DESCRIPCION,-77.1319302,-11.92429007,FALSO,null
101,LIMA AIRPORT PARTNERS S.R.L.,20501577252,FALSO,FALSO,ITS,Transportes,17/03/2023,Aprobado,SIN DESCRIPCION,-77.11847487,-12.01943027,FALSO,null
102,NEXA RESOURCES PERU S.A.A.,20100110513,FALSO,MAGISTRAL,ITS,FALSO,02/11/2020,Aprobado,SIN DESCRIPCION,-77.77293471,-8.22932335,FALSO,null
116,MUNICIPALIDAD METROPOLITANA DE LIMA,20131380951,FALSO,FALSO,FALSO,Transportes,17/09/2018,Aprobado,SIN DESCRIPCION,-77.05149872,-12.04383173,FALSO,null
119,FALSO,20602114091,FALSO,SIN UNIDAD,IGAPRO,Agricultura,10/06/2022,Aprobado,SIN DESCRIPCION,-78.45905,-8.96543,FALSO,null
120,FALSO,20511125040,FALSO,SIN UNIDAD,ITS,Transportes,11/08/2017,Aprobado,SIN DESCRIPCION,-71.59415929,-13.66497441,FALSO,null
103,MUNICIPALIDAD DISTRITAL DE CHIRIMOTO,20207202127,FALSO,SIN UNIDAD,PPC,Transportes,17/11/2021,Aprobado,SIN DESCRIPCION,-77.34809858,-77.34809858,FALSO,null
104,CIA MINERA RAURA S.A.,20100163552,FALSO,U.M. RAURA,FALSO,FALSO,09/09/2019,Aprobado,SIN DESCRIPCION,-76.74346984,-10.458855,FALSO,null
106,FALSO,20304177552,FALSO,LOTE 88,ITS,Hidrocarburos,26/11/2018,Aprobado,SIN DESCRIPCION,-72.88,-11.8096,FALSO,null
