"Listado de Proyectos APROBADO","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"ID","TITULAR","RUC","TITULO_PROYECTO","UNIDAD_PROYECTO","TIPO","ACTIVIDAD","FECHA_INICIO","ESTADO","DESCRIPCION","LONGITUD","LATITUD","RESOLUCION","LABEL",""
"25","EMPRESA DE GENERACION ELECTRICA SAN GABAN S.A.","20262221335","","","MPPC","Electricidad","07/12/2022","Aprobado","SIN DESCRIPCION","-70.59989519","-14.07722734","","null",""
"26","","20100079501","","SAN GABRIEL","ITS","","28/08/2020","Aprobado","SIN DESCRIPCION","-70.39899865","-13.15209764","","null",""
"27","EMPRESA ADMINISTRADORA CERRO S.A.C.","20538848060","","CERRO DE PASCO","PPC","","13/10/2022","Aprobado","SIN DESCRIPCION","-76.25962831","-10.67851773","","null",""
"28","","20168702346","","LOTE VII/VI","ITS","Hidrocarburos","18/05/2017","Aprobado","SIN DESCRIPCION","-81.25261248","-4.48973025","","null",""
"29","CONCESIONARIA IIRSA NORTE S.A.","20511004251","","CORREDOR VIAL AMAZONAS NORTE (IIRSA NORTE), TRAMO 04: OLMOS %u2013 CORRAL  QUEMADO","ITS","Transportes","05/03/2021","Aprobado","SIN DESCRIPCION","-79.68670881","-5.97249074","","null",""
"1","CONCESION CANCHAQUE S.A.C","20515121201","ITS PARA LA MODIFICACION DE COMPONENTES AUXILIARES DEL CORREDOR VIAL NACIONAL RUTA PE-02: EMPALME 1B BUENOS AIRES %u2013 CANCHAQUE - HUANCABAMBA","MODIFICACION DE COMPONENTES AUXILIARES DEL CORREDOR VIAL NACIONAL RUTA PE-02: EMPALME 1B BUENOS AIRES %u2013 CANCHAQUE - HUANCABAMBA","ITS","Transportes","05/09/2019","Aprobado","SIN DESCRIPCION","-79.98636081","-5.24037274","","null",""
"4","VOLCAN COMPANIA MINERA S.A.A.","20383045267","","CARAHUACRA","ITS","","15/08/2020","Aprobado","SIN DESCRIPCION","-76.08420546","-11.66942591","","null",""
"6","LIMA AIRPORT PARTNERS S.R.L.","20501577252","","INFRAESTRUCTURA AEROPORTUARIA","ITS","Transportes","29/10/2021","Aprobado","SIN DESCRIPCION","-77.11818435","-12.02225993","","null",""
"7","","20499432021","","TGP","ITS","Hidrocarburos","23/02/2016","Aprobado","SIN DESCRIPCION","-75.5447","-13.6417","","null",""
"8","CONCESIONARIA IIRSA NORTE S.A.","20511004251","","TRAMO III","ITS","Transportes","17/09/2020","Aprobado","SIN DESCRIPCION","-77.64507251","-5.68610308","","null",""
"11","MUNICIPALIDAD PROVINCIAL DE AREQUIPA","20154489895","MEJORAMIENTO DEL SERVICIO DE INTERCONEXION VIAL ENTRE LAS AVENIDAS JESUS, LOS INCAS, KENEDY Y LAS CALLES LONDRES, 30 DE AGOSTO, MARIA NIEVES BUSTAMANTE, DE LOS DISTRITOS DE AREQUIPA, PAUCARPATA Y JOSE LUIS BUSTAMANTE","MEJORAMIENTO DEL SERVICIO DE INTERCONEXION VIAL","","Transportes","06/04/2021","Aprobado","SIN DESCRIPCION","-71.51251308","-16.4125286","","null",""
"12","CINTRA SERVICIOS DE INFRAESTRUCTURAS SUCURSAL DEL PERU","20601615518","ANILLO VIAL PERIFERICO DE LA CUIDAD DE LIMA Y EL CALLAO TRAMO I: DESDE EL OVALO 200 MILLAS-AV ELMER FAUCETT -AV. CANTA CALLAO HASTA SU CRUCE CON LA AV. NARANJAL HASTA LA PANAMERICANA NORTE","ANILLO VIAL PERIFERICO DE LA CUIDAD DE LIMA Y EL CALLAO TRAMO I: DESDE EL OVALO 200 MILLAS-AV ELMER FAUCETT -AV. CANTA CALLAO HASTA SU CRUCE CON LA AV. NARANJAL HASTA LA PANAMERICANA NORTE","","Transportes","18/07/2019","Aprobado","SIN DESCRIPCION","-77.06230109","-11.97675137","","null",""
"13","","20192779333","","PALLANCATA","ITS","","14/12/2016","Aprobado","SIN DESCRIPCION","-73.147","-14.682","","null",""
"14","","20304177552","ITS PARA LA INSTALACION CAMPAMENTO SATELITE MALVINAS","LOTE 88","ITS","Hidrocarburos","07/04/2017","Aprobado","SIN DESCRIPCION","-72.93665084","-11.82351803","","null",""
"15","","20458538701","AMPLIACION DE CAPACIDAD INSTALADA DE 3000 A 3600 TMD DE LA PLANTA DE BENEFICIO HUANCAPETI 2009 POR MEJORAS TECNOLOGICAS","U.M. HUANCAPETI","ITS","","27/06/2017","Aprobado","SIN DESCRIPCION","-77.52864023","-9.75216662","","null",""
"16","","20204474606","CONSTRUCCION DE  CAMINO VECINAL SECSENCCAYA-JATUN PIHUANCA DEL -, DISTRITO DE SAN JUAN DE CHACNA - AYMARAES - APURIMAC","","","Transportes","25/10/2021","Aprobado","SIN DESCRIPCION","-73.18385894","-13.90422517","","null",""
"17","NYRSTAR ANCASH S.A.","20383161330","","UEA CONTONGA","ITS","","19/07/2016","Aprobado","SIN DESCRIPCION","-77.078","-9.5","","null",""
"18","","20546191541","","PAN AMERICAN SILVER","ITS","","24/11/2016","Aprobado","SIN DESCRIPCION","-76.41","-11.0101","","null",""
"31","MINSUR S.A.","20100136741","","PUCAMARCA","MPPC","","16/09/2022","Aprobado","SIN DESCRIPCION","-69.80849073","-17.81725943","","null",""
"32","EMPRESA NACIONAL DE PUERTOS S.A.","20100003200","MEJORAMIENTO DEL SERVICIO DE EMBARQUE Y DESEMBARQUE DE PASAJEROS EN EL TERMINAL PORTUARIO DE IQUITOS","SIN UNIDAD","","Transportes","23/09/2016","Aprobado","SIN DESCRIPCION","-73.23992055","-73.23992055","","null",""
"35","GOBIERNO REGIONAL DE AMAZONAS","20479569900","MEJORAMIENTO DE LA CARRETERA CHACHAPOYAS - AEROPUERTO","SIN UNIDAD","","Transportes","07/09/2016","Aprobado","SIN DESCRIPCION","-77.86660147","-77.86660147","","null",""
"47","NEXA RESOURCES EL PORVENIR S.A.C.","20492744833","","U.M. EL PORVENIR","ITS","","10/12/2019","Aprobado","SIN DESCRIPCION","-76.20517965","-10.61611424","","null",""
"48","ARUNTANI S.A.C.","20466327612","CUARTO ITS DE LA UNIDAD MINERA ARASI: CANTERA JESSICA NORTE","U.M. ARASI","ITS","","11/12/2018","Aprobado","SIN DESCRIPCION","-70.82776413","-15.25001665","","null",""
