ID,TITULAR,RUC,TITULO_PROYECTO,UNIDAD_PROYECTO,TIPO,ACTIVIDAD,FECHA_INICIO,ESTADO,DESCRIPCION,LONGITUD,LATITUD,RESOLUCION,LABEL
25,EMPRESA DE GENERACION ELECTRICA SAN GABAN S.A.,20262221335,PLAN DE PARTICIPACIÓN CIUDADANA PARA LA CONTINUACIÓN DEL PROYECTO DE MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO CENTRAL HIDROELÉCTRICA SAN GABÁN II RELACIONADO CON LA “INSTALACIÓN DE UNA PRESA EN LA CUENCA DEL RÍO NINAHUISA PARA EL AFIANZA,"CENTRAL HIDROELÉCTRICA,  CON ESTRUCTURA DE REGULACIÓN (PRESA, BARRAJES MÓVIL O FIJO, U OTROS QUE GENEREN EMBALSE), UBICACIÓN A",MPPC,Electricidad,07/12/2022,Aprobado,SIN DESCRIPCION,-70.59989519,-14.07722734,,
26,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,20100079501,SEGUNDO INFORME TÉCNICO SUSTENTATORIO DEL PROYECTO SAN GABRIEL,SAN GABRIEL,ITS,Minería,28/08/2020,Aprobado,SIN DESCRIPCION,-70.39899865,-13.15209764,RD N° 0129-2020-SENACE-PE/DEAR,
27,EMPRESA ADMINISTRADORA CERRO S.A.C.,20538848060,PRIMERA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DE LA UNIDAD MINERA CERRO DE PASCO,CERRO DE PASCO,PPC,Minería,13/10/2022,Aprobado,SIN DESCRIPCION,-76.25962831,-10.67851773, RD N° 00042-2023-SENACE-PE/DEAR,
28,"SAPET DEVELOPMENT PERÚ INC., SUCURSAL DEL PERÚ",20168702346,AMPLIACIÓN Y MODIFICACIÓN DE FACILIDADES DE PRODUCCIÓN EN EL LOTE VII / VI,LOTE VII/VI,ITS,Hidrocarburos,18/05/2017,Aprobado,SIN DESCRIPCION,-81.25261248,-4.48973025,RD N° 194-2017-SENACE/DCA,
29,CONCESIONARIA IIRSA NORTE S.A.,20511004251,"ITS PARA LA CONSTRUCCIÓN DE DEPÓSITOS DE MATERIAL EXCEDENTE KM 180+568 LI, 178+816 LD, 57+067 LI,  9+990 LD Y 3+386 LD DEL CORREDOR VIAL AMAZONAS NORTE (IIRSA NORTE), TRAMO 04: OLMOS – CORRAL  QUEMADO","CORREDOR VIAL AMAZONAS NORTE (IIRSA NORTE), TRAMO 04: OLMOS – CORRAL  QUEMADO",ITS,Transportes,05/03/2021,Aprobado,SIN DESCRIPCION,-79.68670881,-5.97249074,RD N° 00105-2021-SENACE-PE/DEIN,
1,CONCESION CANCHAQUE S.A.C,20515121201,ITS PARA LA MODIFICACION DE COMPONENTES AUXILIARES DEL CORREDOR VIAL NACIONAL RUTA PE-02: EMPALME 1B BUENOS AIRES – CANCHAQUE - HUANCABAMBA,MODIFICACION DE COMPONENTES AUXILIARES DEL CORREDOR VIAL NACIONAL RUTA PE-02: EMPALME 1B BUENOS AIRES – CANCHAQUE - HUANCABAMBA,ITS,Transportes,05/09/2019,Aprobado,SIN DESCRIPCION,-79.98636081,-5.24037274,RD N° 00093-2020-SENACE-PE/DEIN,
4,VOLCAN COMPANIA MINERA S.A.A.,20383045267,QUINTO INFORME TÉCNICO SUSTENTATORIO DE LA UNIDAD MINERA CARAHUACRA,CARAHUACRA,ITS,Minería,15/08/2020,Aprobado,SIN DESCRIPCION,-76.08420546,-11.66942591,RD N° 00113-2020-SENACE-PE/DEAR,
6,LIMA AIRPORT PARTNERS S.R.L.,20501577252,CUARTO INFORME TÉCNICO SUSTENTATORIO DE LA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL   AEROPUERTO INTERNACIONAL JORGE CHÁVEZ (AIJC),INFRAESTRUCTURA AEROPORTUARIA,ITS,Transportes,29/10/2021,Aprobado,SIN DESCRIPCION,-77.11818435,-12.02225993,RD N° 00027-2022-SENACE-PE/DEIN,
7,TRANSPORTADORA DE GAS DEL PERÚ S.A.,20499432021,INSTALACIÓN Y OPERACIÓN DE UN SISTEMA DE FILTRADO EN EL DUCTO DE LGN-ESTACIÓN REDUCTORA DE PRESIÓN N° 2 (PRS2),TGP,ITS,Hidrocarburos,23/02/2016,Aprobado,SIN DESCRIPCION,-75.5447,-13.6417,RD N° 006-2016-SENACE/DCA,
8,CONCESIONARIA IIRSA NORTE S.A.,20511004251,"INFORME TÉCNICO SUSTENTATORIO PARA EL DEPÓSITO DE MATERIAL EXCEDENTE KM 399+000 LI DEL PROYECTO CORREDOR VIAL AMAZONAS NORTE, TRAMO 3: CORRAL QUEMADO – RIOJA",TRAMO III,ITS,Transportes,17/09/2020,Aprobado,SIN DESCRIPCION,-77.64507251,-5.68610308,RD N° 00141-2020-SENACE-PE/DEIN,
