ID,TITULAR,RUC,TITULO_PROYECTO,UNIDAD_PROYECTO,TIPO,ACTIVIDAD,FECHA_INICIO,ESTADO,DESCRIPCION,LONGITUD,LATITUD,RESOLUCION,LABEL
21,CONSORCIO TRANSMANTARO S.A.,20383316473,INFORME TÉCNICO SUSTENTATORIO N° 1 PARA EL PROYECTO “ENLACE 500 KV MANTARO-NUEVA YANANGO-CARAPONGO Y SUBESTACIONES ASOCIADAS” – ITS N° 1 – COYA.,ENLACE 500 KV MANTARO-NUEVA YANANGO-CARAPONGO Y SUBESTACIONES ASOCIADAS,ITS,Electricidad,18/06/2021,Desaprobado,SIN DESCRIPCION,-74.846042,-12.068186,RD N° 00144-2021-SENACE-PE/DEIN,
22,CONSORCIO TRANSMANTARO S.A.,20383316473,INFORME TÉCNICO SUSTENTATORIO N° 2 PARA EL PROYECTO “ENLACE 500 KV NUEVA YANANGO – NUEVA HUÁNUCO (YAROS) Y SUBESTACIONES ASOCIADAS” –ITS N° 2 – YANA,ENLACE 500 KV NUEVA YANANGO-NUEVA HUÁNUCO Y SUBESTACIONES ASOCIADAS,ITS,Electricidad,03/07/2021,Desaprobado,SIN DESCRIPCION,-76.190391,-9.908773,RD N° 00130-2021-SENACE-PE/DEIN,
30,MUNICIPALIDAD DISTRITAL DE HUAMANGUILLA,20143157564,CREACIÓN DEL CAMINO VECINAL DE LOS TRAMOS: TRAMO 01 PACUCRO – HUARIBAMBA; TRAMO 02 HUARIBAMBA – ICHUPATA; TRAMO 03 ACLLAWASI – CRUCE HUARIBAMBA; TRAMO 04 CHULLCUPAMPA – PACURCRO; TRAMO 05 CCOCHAPAMPA – SULLUWAYLLA – PACUCRO; TRAMO 06 TOJYASJA JIPA – CAMPA,CAMINO VECINAL,Clasificación,Transportes,02/09/2020,Desaprobado,SIN DESCRIPCION,-70.39899865,-13.15209764,RD N° 00154-2020-SENACE-PE/DEIN,
79,COMPAÑÍA CONSULTORA DE PETROLEO S.A. (CCP),20144856512,"PPC DEL EIA Y SOCIAL PARA EL ""PROYECTO DE DESARROLLO DE LA ESTRUCTURA HUAYA EN EL LOTE 100""",SIN UNIDAD,PPC,Hidrocarburos,14/06/2016,Desaprobado,SIN DESCRIPCION,-75.18774188,-7.11061194,RD N° 036-2016- SENACE/DCA,
69,GOBIERNO REGIONAL DE HUANCAVELICA,20486020882,"CONSTRUCCION DE LA CARRETERA VECINAL LACHOCCASA – SANTIAGO DE TUCUMA, DISTRITO DE PAMPAS, PROVINCIA DE TAYACAJA Y DEPARTAMENTO DE HUANCAVELICA","CONSTRUCCION DE LA CARRETERA VECINAL LACHOCCASA – SANTIAGO DE TUCUMA, DISTRITO DE PAMPAS, PROVINCIA DE TAYACAJA Y DEPARTAMENTO DE HUANCAVELICA",Clasificación,Transportes,24/10/2019,Desaprobado,SIN DESCRIPCION,-74.94132687,-12.33949972,RD N° 157-2020-SENACE-PE/DEIN,
41,PROYECTO ESPECIAL REGIONAL PASTO GRANDE,20519923182,"INFORME TÉCNICO SUSTENTATORIO PARA LAS ÁREAS AUXILIARES Y EL MEJORAMIENTO DEL CAMINO DE VIGILANCIA, OBRA AUXILIAR CORRESPONDIENTE AL COMPONENTE 2 DEL PROYECTO AMPLIACIÓN DE LA FRONTERA AGRÍCOLA LOMAS DE ILO - MOQUEGUA",CONDUCCIÓN JAGUAY RINCONADA - LOMAS DE ILO,Clasificación,Agricultura,12/07/2021,Desaprobado,SIN DESCRIPCION,-71.0336,-17.5711,RD N° 00164-2021-SENACE-PE/DEI,
43,MUNICIPALIDAD DISTRITAL DE MARA,20201520364,"CREACION DEL CAMINO VECINAL EN LAS LOCALIDADES DE PUCAR, SANTA ROSA DE HUARAQUERAY Y PUEBLO JOVEN HUARAQUERAY DEL DISTRITO DE MARA - PROVINCIA DE COTABAMBAS - DEPARTAMENTO DE APURIMAC","REHABILITACIÓN  Y MEJORAMIENTO  DE INFRAESTRUCTURA  DE TRANSPORTES DE ALCANCE NACIONAL Y/O MACROREGIONAL: CARRETERAS, PUERTOS, AEROPUERTOS, FERROCARRILES Y HELIPUERTOS  (NO CONSIDERADOS EN EL ANEXO 1 RM 891-2019-MTC)",Clasificación,Transportes,12/12/2022,Desaprobado,SIN DESCRIPCION,-72.10041514,-14.0399648,RD N° 00092-2023-SENACE-PE/DEIN,
117,GR CORTARRAMA S.A.C.,20600766873,EVALUACIÓN AMBIENTAL PRELIMINAR (EVAP) DEL PROYECTO “PARQUE SOLAR MATARANI 300 MW Y LÍNEA DE CONEXIÓN 220 KV”,PARQUE SOLAR MATARANI,Clasificación,Electricidad,15/06/2018,Desaprobado,SIN DESCRIPCION,-71.92805652,-16.73478842,RD N° 0121-2018-SENACE-JEF/DEAR,
118,AUTOPISTA DEL NORTE S.A.C.,20520929658,INFORME TÉCNICO SUSTENTATORIO (ITS) PARA LA INSTALACIÓN DE UNA PLANTA DE CHANCADO TORTUGAS DEL PROYECTO OBRAS Y MANTENIMIENTO DE LA RED VIAL 4: PATIVILCA-SANTA-TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,VÍA DE EVITAMIENTO CHIMBOTE,ITS,Transportes,10/03/2022,Desaprobado,SIN DESCRIPCION,-78.40806071,-9.38220585,RD N° 00134-2022-SENACE-PE/DEIN,
124,NEXA RESOURCES PERU S.A.A.,20100110513,CUARTO INFORME TÉCNICO SUSTENTATORIO PARA LA UNIDAD MINERA CERRO LINDO,UM CERRO LINDO,ITS,Minería,10/05/2022,Desaprobado,SIN DESCRIPCION,-76.10811534,-13.20477989,RD N° 00085-2022-SENACE-PE/DEAR,
