Listado de Proyectos EN EVALUACION

ID;TITULAR;RUC;TITULO_PROYECTO;UNIDAD_PROYECTO;TIPO;ACTIVIDAD;FECHA_INICIO;ESTADO;DESCRIPCION;LONGITUD;LATITUD;RESOLUCION;LABEL
"9";"D & D SOLUCIONES AMBIENTALES SOCIEDAD ANONIMA";"20465874482";"PLANTA DE VALORIZACIÓN DE NFU D&D SOLUCIONES AMBIENTALES";"SIN UNIDAD";"Clasificación";"Residuos Sólidos";"04/04/2023";"En Evaluación";"SIN DESCRIPCION";"-76.96418584";"-12.22527482";" ";"null";
"10";"PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL - PROVIAS NACIONAL";"20503503639";"MEJORAMIENTO DE LA CARRETERA IZCUCHACA %u2013 HUANTA, TRAMO: IZCUCHACA - MAYOCC";"SIN UNIDAD";"MPPC";"Transportes";"04/04/2023";"En Evaluación";"SIN DESCRIPCION";"-74.99229992";"-12.50236614";" ";"null";
"20";"CONCESIONARIA INTEROCEANICA SUR TRAMO 2 S.A.";"20511125040";"INFORME TÉCNICO SUSTENTATORIO PARA LA PLANTA DE CHANCADO Y ACOPIO KM 195+400 LD Y CANTERA CAMANTI KM 195+900 LD DEL PROYECTO CORREDOR VIAL INTEROCEÁNICO SUR PERÚ-BRASIL, TRAMO N° 2 URCOS - PUENTE INAMBARI";"MANTENIMIENTO DE PROYECTOS DE INFRAESTRUCTURA DE TRANSPORTES  EN OPERACIÓN  (NO CONSIDERADOS EN EL ANEXO 1 RM 891-2019-MTC)";"ITS";"Transportes";"02/12/2022";"En Evaluación";"SIN DESCRIPCION";"-70.7343497";"-13.21879302";"";"null";
"34";"COMPAÑIA ELECTRICA EL PLATANAL S.A.";"20512481125";"MODIFICACIÓN Y MEJORA TECNOLÓGICA POZA DE AMORTIGUAMIENTO A LA SALIDA DE DEMASÍAS DEL SISTEMA DE CONDUCCIÓN DE LA CENTRAL HIDROELÉCTRICA EL PLATANAL";"CENTRAL HIDROELÉCTRICA,  CON ESTRUCTURA DE REGULACIÓN (PRESA, BARRAJES MÓVIL O FIJO, U OTROS QUE GENEREN EMBALSE), UBICACIÓN A";"ITS";"Electricidad";"03/02/2023";"En Evaluación";"SIN DESCRIPCION";"-75.9582764";"-12.71624328";"";"null";
"49";"PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL - PROVIAS NACIONAL";"20503503639";"CONSTRUCCIÓN DEL PUENTE PUELLAS Y ACCESOS";"CONSTRUCCIÓN  DE PUENTES  Y/O TÚNELES PERTENECIENTES  A LA RED VIAL NACIONAL  (NO CONSIDERADOS EN EL ANEXO 1 RM 891-2019-MTC)";"Clasificación";"Transportes";"05/01/2023";"En Evaluación";"SIN DESCRIPCION";"-79.12130993";"-10.58512533";"";"null";
"71";"MUNICIPALIDAD DISTRITAL DE MARIANO DAMASO BERAUN";"20199856520";"MEJORAMIENTO Y CREACIÓN DEL CAMINO VECINAL DEL CASERIO DE JAVIER PÉREZ DE CUELLAR, BEJUCAL Y CHINCAMAYO, DEL DISTRITO MARIANO DÁMASO BERAUN - PROVINCIA DE LEONCIO PRADO DEPARTAMENTO DE HUÁNUCO";"MEJORAMIENTO Y CREACION";"Clasificación";"Transportes";"12/04/2023";"En Evaluación";"SIN DESCRIPCION";"-75.93569055";"-9.36281511";"";"null";
"72";"BIRRAK CONSTRUCTORES S.A.C";"20514217522";"Infraestructura de Tratamiento y Valorización de Residuos - BIRRAK";"Infraestructura de Tratamiento y Valorización de Residuos";"Clasificación";"Residuos Sólidos";"05/04/2023";"En Evaluación";"SIN DESCRIPCION";"-77.11754752";"-11.90101467";"";"null";
"82";"COMPAÑIA MINERA ARES S.A.C.";"20192779333";"SEGUNDA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DE LA UNIDAD OPERATIVA INMACULADA";"U.O. INMACULADA";"MEIA-d";"Minería";"26/07/2021";"En Evaluación";"SIN DESCRIPCION";"-73.25203894";"-14.9361209";"";"null";
"168";"ATOM ENVIRONMENTAL II SOCIEDAD ANONIMA CERRADA - ATOM ENVIRONMENTAL II S.A.C.";"20607674508";"PROYECTO DE REMEDIACIÓN Y REAPROVECHAMIENTO DEL LOS DEPÓSITOS DE RELAVES DE QUIRUVILCA PARA LA MITIGACIÓN DEL RIESGO AMBIENTAL DEL RÍO MOCHE - 3RQ-MOCHE";"UNIDAD MINERA QUIRUVILCA";"TDR";"Minería";"20/03/2023";"En Evaluación";"SIN DESCRIPCION";"-78.31206542";"-8.02403816";"";"null";
"167";"ENEL GENERACION PERU S.A.A.";"20330791412";"INFORME TÉCNICO SUSTENTATORIO (ITS) PARA LAS ACTIVIDADES DE MEJORA: %u201CRECUPERACIÓN DE POTENCIA DE LA TURBINA DE VAPOR (TV 05), IMPLEMENTANDO UNA TORRE HÍBRIDA SECA%u201D EN LA CENTRAL TÉRMICA VENTANILLA.";"CENTRAL TÉRMICA VENTANILLA";"ITS";"Electricidad";"22/03/2023";"En Evaluación";"SIN DESCRIPCION";"-77.11844494";"-11.93565323";"";"null";
