"ID","TITULAR","RUC","TITULO_PROYECTO","UNIDAD_PROYECTO","TIPO","ACTIVIDAD","FECHA_INICIO","ESTADO","DESCRIPCION","LONGITUD","LATITUD","RESOLUCION","LABEL"
"9","D & D SOLUCIONES AMBIENTALES SOCIEDAD ANONIMA","20465874482","","SIN UNIDAD","","","04/04/2023","","SIN DESCRIPCION","-76.96418584","-12.22527482"," ","null"
"10","PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL - PROVIAS NACIONAL","20503503639","MEJORAMIENTO DE LA CARRETERA IZCUCHACA %u2013 HUANTA, TRAMO: IZCUCHACA - MAYOCC","SIN UNIDAD","MPPC","Transportes","04/04/2023","","SIN DESCRIPCION","-74.99229992","-12.50236614"," ","null"
"20","CONCESIONARIA INTEROCEANICA SUR TRAMO 2 S.A.","20511125040","","","ITS","Transportes","02/12/2022","","SIN DESCRIPCION","-70.7343497","-13.21879302","","null"
"34","","20512481125","","","ITS","Electricidad","03/02/2023","","SIN DESCRIPCION","-75.9582764","-12.71624328","","null"
"49","PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL - PROVIAS NACIONAL","20503503639","","","","Transportes","05/01/2023","","SIN DESCRIPCION","-79.12130993","-10.58512533","","null"
"71","MUNICIPALIDAD DISTRITAL DE MARIANO DAMASO BERAUN","20199856520","","MEJORAMIENTO Y CREACION","","Transportes","12/04/2023","","SIN DESCRIPCION","-75.93569055","-9.36281511","","null"
"72","BIRRAK CONSTRUCTORES S.A.C","20514217522","","","","","05/04/2023","","SIN DESCRIPCION","-77.11754752","-11.90101467","","null"
"82","","20192779333","","U.O. INMACULADA","MEIA-d","","26/07/2021","","SIN DESCRIPCION","-73.25203894","-14.9361209","","null"
"168","ATOM ENVIRONMENTAL II SOCIEDAD ANONIMA CERRADA - ATOM ENVIRONMENTAL II S.A.C.","20607674508","","UNIDAD MINERA QUIRUVILCA","TDR","","20/03/2023","","SIN DESCRIPCION","-78.31206542","-8.02403816","","null"
"167","ENEL GENERACION PERU S.A.A.","20330791412","","","ITS","Electricidad","22/03/2023","","SIN DESCRIPCION","-77.11844494","-11.93565323","","null"
"207","","20514608041","","ALPAMARCA - PALLANGA","PPC","","30/03/2023","","SIN DESCRIPCION","-76.45355266","-11.20277801","","null"
"211","HYDRO GLOBAL PERU S.A.C.","20600538251","","","ITS","Electricidad","16/01/2023","","SIN DESCRIPCION","-70.42015403","-13.50379073","","null"
"180","AGUAYTIA ENERGY DEL PERU S.R.L.","20297660536","","LOTE 31-C","IntegrAmbiente","Hidrocarburos","15/07/2022","","SIN DESCRIPCION","-75.22701404","-8.38006262","","null"
"245","VOLCAN COMPANIA MINERA S.A.A.","20383045267","","CARAHUACRA","PPC","","31/03/2023","","SIN DESCRIPCION","-76.09600683","-11.70387967","","null"
"246","EMPRESA DE GENERACION ELECTRICA SAN GABAN S.A.","20262221335","","","ITS","Electricidad","02/04/2023","","SIN DESCRIPCION","-70.46009185","-13.6390796","","null"
"260","VOLCAN COMPANIA MINERA S.A.A.","20383045267","","ANDAYCHAGUA","MPPC","","31/03/2023","","SIN DESCRIPCION","-76.00594471","-11.75075653","","null"
"261","ENGIE ENERGIA PERU S.A.","20333363900","","CENTRAL HIDROELECTRICA YUNCAN","ITS","Electricidad","03/04/2023","","SIN DESCRIPCION","-75.71222907","-10.76304682","","null"
"262","MINERA BATEAS S.A.C.","20510704291","","UNIDAD MINERA CAYLLOMA","ITS","","03/04/2023","","SIN DESCRIPCION","-71.86441655","-15.20560047","","null"
"227","","20100079501","","ORCOPAMPA","PPC","","30/03/2023","","SIN DESCRIPCION","-72.33412534","-15.27797935","","null"
"284","MINISTERIO DE TRANSPORTES Y COMUNICACIONES","20131379944","","","ITS","Transportes","05/05/2023","","SIN DESCRIPCION","-72.06277652","-13.41137998","","null"
"285","CORPORACION LOGISTICA AMBIENTAL S.A.C.","20601770653","","CLA - VENTANILLA ZONA 9","","","05/05/2023","","SIN DESCRIPCION","-77.11095328","-11.93094566","","null"
