ID,TITULAR,RUC,TITULO_PROYECTO,UNIDAD_PROYECTO,TIPO,ACTIVIDAD,FECHA_INICIO,ESTADO,DESCRIPCION,LONGITUD,LATITUD,RESOLUCION,LABEL
21,CONSORCIO TRANSMANTARO S.A.,20383316473,FALSO,ENLACE 500 KV MANTARO-NUEVA YANANGO-CARAPONGO Y SUBESTACIONES ASOCIADAS,ITS,Electricidad,18/06/2021,Desaprobado,SIN DESCRIPCION,-74.846042,-12.068186,FALSO,null
22,CONSORCIO TRANSMANTARO S.A.,20383316473,FALSO,FALSO,ITS,Electricidad,03/07/2021,Desaprobado,SIN DESCRIPCION,-76.190391,-9.908773,FALSO,null
30,MUNICIPALIDAD DISTRITAL DE HUAMANGUILLA,20143157564,FALSO,CAMINO VECINAL,FALSO,Transportes,02/09/2020,Desaprobado,SIN DESCRIPCION,-70.39899865,-13.15209764,FALSO,null
79,FALSO,20144856512,PPC DEL EIA Y SOCIAL PARA EL PROYECTO DE DESARROLLO DE LA ESTRUCTURA HUAYA EN EL LOTE 100,SIN UNIDAD,PPC,Hidrocarburos,14/06/2016,Desaprobado,SIN DESCRIPCION,-75.18774188,-7.11061194,FALSO,null
69,GOBIERNO REGIONAL DE HUANCAVELICA,20486020882,CONSTRUCCION DE LA CARRETERA VECINAL LACHOCCASA %u2013 SANTIAGO DE TUCUMA, DISTRITO DE PAMPAS, PROVINCIA DE TAYACAJA Y DEPARTAMENTO DE HUANCAVELICA,CONSTRUCCION DE LA CARRETERA VECINAL LACHOCCASA %u2013 SANTIAGO DE TUCUMA, DISTRITO DE PAMPAS, PROVINCIA DE TAYACAJA Y DEPARTAMENTO DE HUANCAVELICA,FALSO,Transportes,24/10/2019,Desaprobado,SIN DESCRIPCION,-74.94132687,-12.33949972,FALSO,null
41,PROYECTO ESPECIAL REGIONAL PASTO GRANDE,20519923182,FALSO,FALSO,FALSO,Agricultura,12/07/2021,Desaprobado,SIN DESCRIPCION,-71.0336,-17.5711,FALSO,null
43,MUNICIPALIDAD DISTRITAL DE MARA,20201520364,CREACION DEL CAMINO VECINAL EN LAS LOCALIDADES DE PUCAR, SANTA ROSA DE HUARAQUERAY Y PUEBLO JOVEN HUARAQUERAY DEL DISTRITO DE MARA - PROVINCIA DE COTABAMBAS - DEPARTAMENTO DE APURIMAC,FALSO,FALSO,Transportes,12/12/2022,Desaprobado,SIN DESCRIPCION,-72.10041514,-14.0399648,FALSO,null
117,GR CORTARRAMA S.A.C.,20600766873,FALSO,PARQUE SOLAR MATARANI,FALSO,Electricidad,15/06/2018,Desaprobado,SIN DESCRIPCION,-71.92805652,-16.73478842,FALSO,null
118,AUTOPISTA DEL NORTE S.A.C.,20520929658,FALSO,FALSO,ITS,Transportes,10/03/2022,Desaprobado,SIN DESCRIPCION,-78.40806071,-9.38220585,FALSO,null
124,NEXA RESOURCES PERU S.A.A.,20100110513,FALSO,UM CERRO LINDO,ITS,FALSO,10/05/2022,Desaprobado,SIN DESCRIPCION,-76.10811534,-13.20477989,FALSO,null
142,FALSO,20137025354,FALSO,CH  CATIVEN I Y CATIVEN II,ITS,FALSO,06/06/2019,Desaprobado,SIN DESCRIPCION,-78.09653173,-7.89876314,FALSO,null
146,AUTORIDAD PARA LA RECONSTRUCCION CON CAMBIOS,20602114091,FALSO,SIN UNIDAD,IGAPRO,Agricultura,11/07/2021,Desaprobado,SIN DESCRIPCION,-76.14133188,-12.94945053,,null
133,AGRO ECOSISTEMA S.A.C.,20601044103,FALSO,FALSO,FALSO,FALSO,27/03/2021,Desaprobado,SIN DESCRIPCION,-76.73103007,-12.40295538,FALSO,null
203,MUNICIPALIDAD DISTRITAL DE PAMPAROMAS,20146925848,FALSO,TROCHA CARROZABLE - HUASCAR - PICHIU,FALSO,Transportes,24/08/2022,Desaprobado,SIN DESCRIPCION,-77.98191084,-9.19200857,FALSO,null
178,GR BAYOVAR S.A.C.,20602751083,FALSO,PARQUE EOLICO EMMA,FALSO,Electricidad,30/05/2018,Desaprobado,SIN DESCRIPCION,-80.77856747,-5.9326429,FALSO,null
